item_id,item_name
10,Counter-Strike
30,Day of Defeat
2630,Call of Duty 2
6400,Joint Task Force
6910,Deus Ex: Game of the Year Edition
7670,BioShock
220,Half-Life 2
380,Half-Life 2: Episode One
400,Portal
420,Half-Life 2: Episode Two
9340,Company of Heroes: Opposing Fronts
4700,Medieval II: Total War
12900,Audiosurf
15700,Oddworld: Abe's Oddysee
17330,Crysis Warhead
22000,World of Goo
500,Left 4 Dead
4560,Company of Heroes
17460,Mass Effect
10500,Empire: Total War
22200,Zeno Clash
26800,Braid
1250,Killing Floor
3590,Plants vs. Zombies: Game of the Year
23120,Droplitz
35700,Trine
10140,3D Ultra Minigolf Adventures Deluxe
35010,Batman: Arkham Asylum
29180,Osmos
15520,AaAaAA!!! - A Reckless Disregard for Gravity
32370,STAR WARS™: Knights of the Old Republic™
37700,Darkest of Days
24860,Battlefield 2
39530,Painkiller: Black Edition
550,Left 4 Dead 2
41500,Torchlight
20900,The Witcher: Enhanced Edition
10180,Call of Duty: Modern Warfare 2
17450,Dragon Age: Origins
3170,King's Bounty: Armored Princess
25900,King's Bounty: The Legend
31410,Zombie Driver
24980,Mass Effect 2
46000,Bob Came in Pieces
33230,Assassin's Creed II
20820,Shatter
47700,Command and Conquer 4: Tiberian Twilight
24960,Battlefield: Bad Company 2
43110,Metro 2033
49600,Beat Hazard
31220,Sam & Max 301: The Penal Zone
21090,F.E.A.R.
21110,F.E.A.R.: Extraction Point
49400,Magic: The Gathering - Duels of the Planeswalkers
33910,Arma 2
33930,Arma 2: Operation Arrowhead
50130,Mafia II
62100,Chime
31280,Poker Night at the Inventory
57300,Amnesia: The Dark Descent
21970,R.U.S.E
41000,Serious Sam HD: The First Encounter
41050,Serious Sam Classic: The First Encounter
18040,DeathSpank
22380,Fallout: New Vegas
42700,Call of Duty: Black Ops
42710,Call of Duty: Black Ops - Multiplayer
62000,Flight Control HD
40800,Super Meat Boy
9500,Gish
70400,Recettear: An Item Shop's Tale
41300,Altitude
41800,Gratuitous Space Battles
49900,Plain Sight
34330,Total War: SHOGUN 2
63200,Monday Night Combat
99810,Bulletstorm
620,Portal 2
42910,Magicka
15540,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby)
18500,Defense Grid: The Awakening
20920,The Witcher 2: Assassins of Kings Enhanced Edition
105600,Terraria
98200,Frozen Synapse
4540,Titan Quest
4550,Titan Quest: Immortal Throne
15620,"Warhammer® 40,000™: Dawn of War® II"
20570,"Warhammer® 40,000™: Dawn of War® II - Chaos Rising™"
50620,Darksiders
55100,Homefront
56400,"Warhammer® 40,000™: Dawn of War® II – Retribution™"
96100,Defy Gravity
35450,Rising Storm/Red Orchestra 2 Multiplayer
72850,The Elder Scrolls V: Skyrim
107100,Bastion
57690,Tropico 4
91310,Dead Island
113200,The Binding of Isaac
65800,Dungeon Defenders
9200,RAGE
41070,Serious Sam 3: BFE
48950,Greed Corp
92800,SpaceChem
104700,Super Monday Night Combat
203770,Crusader Kings II
203810,Dear Esther
110800,L.A. Noire
207610,The Walking Dead
98300,Toy Soldiers
50300,Spec Ops: The Line
205100,Dishonored
211120,The Political Machine
49520,Borderlands 2
200260,Batman: Arkham City GOTY
212680,FTL: Faster Than Light
200710,Torchlight II
8870,BioShock Infinite
200510,XCOM: Enemy Unknown
220240,Far Cry® 3
228280,Baldur's Gate: Enhanced Edition
218230,PlanetSide 2
236390,War Thunder
227080,Papo & Yo
233450,Prison Architect
43160,Metro: Last Light
219740,Don't Starve
222730,Reus
241600,Rogue Legacy
238930,"7 Grand Steps, Step 1: What Ancients Begat"
217140,Rise of the Triad
39140,FINAL FANTASY VII
239030,"Papers, Please"
248820,Risk of Rain
239350,Spelunky
218620,PAYDAY 2
236850,Europa Universalis IV
47790,Medal of Honor(TM) Single Player
250320,The Wolf Among Us
250900,The Binding of Isaac: Rebirth
204450,Call of Juarez Gunslinger
251990,Long Live The Queen
236450,PAC-MAN Championship Edition DX+
242050,Assassin's Creed IV Black Flag
213670,South Park™: The Stick of Truth™
238010,Deus Ex: Human Revolution - Director's Cut
245470,Democracy 3
221910,The Stanley Parable
260230,Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™
238430,Contagion
261030,The Walking Dead: Season Two
261570,Ori and the Blind Forest
39150,FINAL FANTASY VIII
230230,Divinity: Original Sin (Classic)
232790,Broken Age
237990,The Banner Saga
273620,Freespace 2
222880,Insurgency
225840,Sven Co-op
280220,Creeper World 3: Arc Eternal
236430,DARK SOULS™ II
201810,Wolfenstein: The New Order
294860,Valkyria Chronicles™
238460,BattleBlock Theater
237930,Transistor
306660,Ultimate General: Gettysburg
316790,Grim Fandango Remastered
241930,Middle-earth: Shadow of Mordor
328080,Retro-Pixel Castles
282070,This War of Mine
333930,Dirty Bomb
334120,Armikrog
319630,Life Is Strange™
346010,Besiege
255710,Cities: Skylines
232090,Killing Floor 2
377160,Fallout 4
340170,FINAL FANTASY TYPE-0 HD
391540,Undertale
337000,Deus Ex: Mankind Divided™
368230,Kingdom: Classic
289130,Endless Legend
268500,XCOM 2
379720,DOOM
273350,Evolve Stage 2
3910,Sid Meier's Civilization III: Complete
2200,Quake III Arena
2310,Quake
4760,Rome: Total War
15310,The Settlers: Heritage of Kings
17120,Children of the Nile: Alexandria
21000,LEGO Batman: The Videogame
24740,Burnout Paradise: The Ultimate Box
27000,The Path
23700,Puzzle Kingdoms
22330,The Elder Scrolls IV: Oblivion 
24800,Command and Conquer: Red Alert 3 - Uprising
33220,Tom Clancy's Splinter Cell: Conviction
70100,Hacker Evolution
70110,Hacker Evolution - Untold
9940,Blade Kitten
57600,Tropico 3: Absolute Power
12210,Grand Theft Auto IV
47810,Dragon Age: Origins - Ultimate Edition
63700,BIT.TRIP BEAT
72200,Universe Sandbox
48210,The Settlers 7: Paths to a Kingdom - Gold Edition
91900,Post Apocalyptic Mayhem
70000,Dino D-Day
91600,Sanctum
104200,BEEP
92100,DETOUR
104600,Portal 2 - The Final Hours
15960,Little Farm
98800,Dungeons of Dredmor
22230,Rock of Ages
107200,Space Pirates and Zombies
111800,Blocks That Matter
28050,Deus Ex: Human Revolution
17710,Nuclear Dawn
102840,Shank 2
55230,Saints Row: The Third
115100,Costume Quest
80310,Gemini Rue
201280,Deus Ex: Human Revolution - The Missing Link
48240,Anno 2070
105450,Age of Empires® III: Complete Collection
115110,Stacking
207650,A Virus Named TOM
208600,Lunar Flight
205610,Port Royale 3
104900,ORION: Prelude
211360,Offspring Fling!
204180,Waveform
108800,Crysis 2 Maximum Edition
204100,Max Payne 3
207080,Indie Game: The Movie
214360,Tower Wars
201790,Orcs Must Die! 2
35140,Batman: Arkham Asylum GOTY Edition
204300,Awesomenauts
108700,Death Rally
202170,Sleeping Dogs™
72000,Closure
218640,Lucius
209540,Strike Suit Zero
214560,Mark of the Ninja
206440,To the Moon
204360,Castle Crashers
219910,Edna & Harvey: Harvey's New Eyes
220860,McPixel
34030,Napoleon: Total War
211160,Viking: Battle for Asgard
219150,Hotline Miami
218680,Scribblenauts Unlimited
223220,Giana Sisters: Twisted Dreams
4920,Natural Selection 2
38600,Faerie Solitaire
223470,POSTAL 2
223630,AirBuccaneers
203140,Hitman: Absolution
209190,Stealth Bastard Deluxe
221640,Super Hexagon
224420,Afterfall InSanity Extended Edition
221300,Monopoly
209950,Triple Town
4570,"Warhammer 40,000: Dawn of War - Game of the Year Edition"
71230,Crazy Taxi
35720,Trine 2
209270,Hero Academy
224700,The Game of Life
227300,Euro Truck Simulator 2
204080,The Showdown Effect
219890,Antichamber
223850,3DMark
286080,Thinking with Time Machine
225260,Brütal Legend
218060,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien
227260,DisplayFusion
203160,Tomb Raider
225420,Cities in Motion 2
234490,Rush Bros
233740,Organ Trail: Director's Cut
235360,Prime World: Defenders
234900,Anodyne
233720,Surgeon Simulator
234710,Poker Night 2
220900,Jack Lumber
210770,Sanctum 2
113020,Monaco
235250,Super Sanctum TD
322330,Don't Starve Together
234650,Shadowrun Returns
236730,Anomaly 2
233270,Far Cry® 3 Blood Dragon
215690,Zeno Clash 2
236090,Dust: An Elysian Tail
268540,The Whispered World Special Edition
231160,The Swapper
231740,Knights of Pen and Paper +1
242760,The Forest
242800,Day One: Garry's Incident
242920,Banished
243120,Betrayer
228960,Skulls of the Shogun
242110,Joe Danger 2: The Movie
95000,Super Splatters
201420,Toki Tori 2+
244770,StarMade
244850,Space Engineers
244890,Velocity®Ultra
9480,Saints Row 2
40390,Risen 2 - Dark Waters
246420,Kingdom Rush
40300,Risen
234390,Teleglitch: Die More Edition
246900,Viscera Cleanup Detail
247020,"Cook, Serve, Delicious!"
214770,Guacamelee! Gold Edition
241620,Inquisitor
244070,Sid Meier's Ace Patrol
243780,PixelJunk™ Monsters Ultimate
244590,Epigenesis
248470,Doorways: Prelude
206420,Saints Row IV
209000,Batman™: Arkham Origins
239820,Game Dev Tycoon
250260,Jazzpunk
250580,Paranautical Activity: Deluxe Atonement Edition
214550,Eets Munchies
111900,Guardians of Middle-earth
251530,Anomaly Korea
251610,Barbie™ Dreamhouse Party™
252010,Oniken
252170,Anomaly Warzone Earth Mobile Campaign
252310,Syder Arcade
252370,The Shivah
252490,Rust
252570,Depths of Fear :: Knossos
252830,Claire
253630,Steam Marines
253650,Sparkle 2 Evo
255320,Edna & Harvey: The Breakout
241540,State of Decay
224860,Arma Tactics
231140,Cities XL Platinum
205650,The Testament of Sherlock Holmes
255870,PixelJunk™ Shooter
217690,Anna - Extended Edition
57740,Jagged Alliance - Back in Action
245620,Tropico 5
239160,Thief
233130,Shadow Warrior
39650,The Guild II
214870,Painkiller Hell & Damnation
257690,J.U.L.I.A.: Among the Stars
257830,Violett
209390,Dungeonbowl Knockout Edition
231720,Bad Hotel
235800,Audiosurf 2
45500,Clickr
258890,Type:Rider
258950,Montague's Mount
259390,Ballpoint Universe: Infinite
259620,3079 -- Block Action RPG
